Xtal,N,ChiSqrNdf,Tau,dTau,Alpha,dAlpha
13,314534,1.1567,6.53191,1.18938,0.0178162,0.00409872
16,473789,1.41593,5.96972,0.719933,0.0322901,0.0053302
20,227200,1.15834,9.54584,3.19568,0.00814137,0.00272734
21,429379,1.00055,7.81758,1.39109,0.0132774,0.00270996
22,561837,1.1182,7.52759,1.10173,0.0151469,0.00250443
24,618337,0.894524,5.51368,1.19544,0.0161693,0.00484568
25,612308,0.906334,6.24765,0.571513,0.0296214,0.00335994
29,239450,1.12228,5.84062,1.5239,0.0192479,0.00671616
31,546965,1.15749,4.84971,1.15867,0.0171163,0.00608487
32,621267,1.25525,5.92163,0.780694,0.020329,0.00366328
33,625335,1.22095,6.46178,0.709161,0.0222558,0.00299922
34,610438,1.20945,5.22586,1.3801,0.0176727,0.00665504
38,106539,0.868908,18.2927,8.28047,0.00847145,0.00243681
39,220100,1.0467,5.67699,1.65609,0.0177132,0.0067327
41,398794,1.21693,7.78669,1.8,0.0114693,0.00306305
42,443532,1.28363,7.20442,1.08452,0.0215023,0.00365842
25,542204,0.778843,4.60088,0.934558,0.0201523,0.00639431
32,520780,1.63044,5.36459,1.42281,0.0110912,0.00418509
33,548001,0.822348,7.92181,2.59515,0.0063036,0.00221549
34,535748,0.999812,6.31378,1.62548,0.00972916,0.00308747
42,375375,0.930166,10.4615,5.0934,0.00439087,0.00182831