Calo,Xtal,Tau_Ep,dTau_Ep,Tau_laser,dTau_laser,Amp_Ep,dAmp_Ep,Amp_laser,dAmp_laser
13,13,8.03856,2.13573,5.83914,0.333642,0.023142,0.00539788,0.022645,0.00200556
13,14,6.68054,1.40034,3.62684,0.326102,0.0261393,0.00593907,0.031549,0.00595777
13,16,5.44167,1.95938,6.74562,0.250038,0.019219,0.00889733,0.0326106,0.00174829
13,21,5.21905,1.37055,6.18202,0.412853,0.0283628,0.0102594,0.0189509,0.00194066
13,22,8.4247,1.73801,5.50379,0.373215,0.019996,0.00351043,0.0257738,0.00281391
13,23,3.6789,0.400674,2.64692,0.267834,0.0366201,0.0107521,0.0495997,0.0128956
13,24,5.80888,2.18056,3.05788,0.26672,0.0143908,0.00672448,0.0486159,0.0100007
13,30,6.17447,1.26208,3.11972,0.374468,0.0246134,0.00588097,0.0312095,0.00863152
13,31,5.6059,1.47429,3.59245,0.444238,0.0224469,0.00762609,0.0230436,0.00609953
13,32,10.3864,4.01552,6.0089,0.349696,0.009641,0.00260744,0.0237508,0.00212799
13,33,6.35111,1.3157,6.38974,0.347233,0.0255287,0.00602123,0.0256133,0.00208492
13,34,4.80655,1.43933,3.62489,0.23481,0.0254583,0.0109648,0.0422348,0.00565047
13,41,9.00038,3.40077,6.20903,0.425521,0.0153821,0.00483809,0.0204694,0.00213077
13,43,7.49552,2.05847,3.7627,0.252767,0.0218226,0.00568394,0.0384671,0.00530856
19,24,6.93409,2.28323,3.07463,0.790882,0.0105818,0.00375095,0.0137628,0.00827867