St13,,
xtal_full,,
Xtal,Value,Error
4,0.829200259,1.919633958
5,1.472927401,0.593691645
6,0.893715019,0.006724587
7,0.88080257,0.00788959
8,0.806520377,0.005778491
10,0.25425835,2.283425276
11,0.95266008,0.003652391
12,0.961262654,0.001829224
13,0.948901821,0.001174088
14,0.936612717,0.000914151
15,0.973077933,0.000956991
16,0.947292437,0.000900447
17,0.883210079,0.00155253
19,0.096637773,2.586771333
20,0.961752642,0.004264987
21,0.980368148,0.001423314
22,1,0.000977271
23,0.915213877,0.00089298
24,0.934379988,0.000829865
25,0.97420036,0.000856423
26,0.871529167,0.001536353
28,0.45528884,0.225186617
29,0.951834677,0.002976142
30,0.978156635,0.001367796
31,0.98822008,0.000994786
32,1.015677598,0.001051505
33,0.985989372,0.000885622
34,0.987800812,0.000940917
35,0.902398416,0.001365115
37,0.094455558,4.546120507
38,1.337077448,0.377719301
39,0.962928613,0.002055485
40,0.975318745,0.001207749
41,0.974213493,0.001048003
42,0.958861207,0.000928632
43,0.956871957,0.000955699
44,0.906657776,0.001347642
49,0.906491079,1.825020818
50,1.141852054,0.687241568
51,1.194530319,0.441172905
52,0.840485139,0.005277455
53,1.161805177,0.270659492
St13,,
xtal_fiducial,,
Xtal,Value,Error
5,0.886130455,1.750341417
6,0.614316709,0.927274643
7,0.884905681,0.605591014
8,0.404585421,0.556528101
10,0.830714522,0.022689819
11,0.959312672,0.029505079
12,0.953787045,0.003171595
13,0.942065804,0.002083938
14,0.934322045,0.001255905
15,0.974796149,0.00132753
16,0.938974566,0.001229115
17,0.847715828,0.002995475
19,1.129134746,4.497349929
20,0.428019819,0.52938908
21,0.976722236,0.002654027
22,1,0.001463834
23,0.899715129,0.001057905
24,0.928009208,0.001002096
25,0.972506268,0.001155361
26,0.817607832,0.00217946
28,0.826452069,1.888204167
29,0.965462812,0.032150145
30,0.976715162,0.002277012
31,0.984711557,0.001343199
32,1.019659024,0.001436711
33,0.983169474,0.001143345
34,0.983319034,0.001099202
35,0.851905523,0.001979282
37,1.020269389,5.149237445
38,0.931485462,0.545680275
39,0.958069709,0.004014264
40,0.971579604,0.001823764
41,0.968000275,0.001396425
42,0.955528204,0.001188592
43,0.951518385,0.001268098
44,0.867038343,0.002746109
50,0.902751799,1.584486734
51,1.296484032,0.862047757
52,0.885491794,0.887640411
53,0.631278605,0.710336229
St19,,
xtal_full,,
Xtal,Value,Error
4,0.879761574,2.087345831
5,0.805967722,0.730281828
6,0.91396459,0.007819854
7,0.896760538,0.004364176
8,0.870959008,0.170978757
10,0.896823176,3.880720379
11,0.920094966,0.014343905
12,0.952486551,0.001699571
13,0.974595509,0.001192415
14,1.022829288,0.001140526
15,0.987001743,0.000944698
16,0.983765817,0.000928507
17,0.923404642,0.001665725
19,1.142811103,2.3573532
20,0.926913343,0.009722837
21,0.962801505,0.001369637
22,1,0.001000389
23,0.95197838,0.000870308
24,0.962941934,0.000866269
25,1.008214583,0.000886138
26,0.941986715,0.001559749
28,0.868742454,2.916748982
29,1.499533756,0.315833286
30,0.968992499,0.00148863
31,0.949009168,0.001026758
32,0.969330942,0.000861348
33,0.983255626,0.00085702
34,0.990923648,0.000885677
35,0.934804637,0.001354125
37,0.705735862,0.252602698
38,0.982850504,0.12033935
39,0.958797767,0.002333795
40,0.918037027,0.001057121
41,0.983422322,0.00109036
42,0.987407875,0.001005476
43,0.928281262,0.000975923
44,0.913978734,0.001574875
49,0.872676483,1.991766313
50,0.970824136,1.207121647
51,0.847802389,0.0438056
52,0.843363221,0.007252006
53,0.455304726,0.468431394
St19,,
xtal_fiducial,,
Xtal,Value,Error
4,1.165454591,4.633599346
5,0.886596788,2.298946868
6,0.888316115,0.118750801
7,2.522185858,0.590004334
8,0.517543674,0.563811792
11,1.006030717,0.671576661
12,0.938076063,0.002973268
13,0.964438077,0.001719972
14,1.023347661,0.001623081
15,0.976392932,0.001221738
16,0.97288289,0.001559943
17,0.877535631,0.002644432
19,0.8468019,3.715481533
20,0.950310434,0.534813766
21,0.944934268,0.003852341
22,1,0.001482075
23,0.939709926,0.001130196
24,0.956279818,0.001159011
25,1.00267652,0.001241022
26,0.896421084,0.002241967
29,1.09024156,0.906686083
30,0.962166755,0.001732354
31,0.93875575,0.001488106
32,0.963961491,0.001293695
33,0.976159666,0.001152178
34,0.985573738,0.001140618
35,0.887972249,0.002325583
37,0.830652289,0.78645372
38,1.034291029,2.545850338
39,0.954810849,0.002764458
40,0.903936857,0.001893688
41,0.983755876,0.001376129
42,0.978488299,0.001421854
43,0.913910967,0.001150122
44,0.879952744,0.002155758
49,0.982514139,37.22542494
50,0.853111128,0.961883397
51,0.575056683,2.106793391
52,0.718431491,0.81867647
53,0.729952995,0.808617909